"user_id","image_paths","claim_status","issue_type","object_part","evidence_standard_met","severity","risk_flags","overall_confidence","image_confidence","claim_confidence","evidence_confidence","risk_confidence","explanation","health_score","fraud_score"
"user_002","images/test/case_001/img_1.jpg;images/test/case_001/img_2.jpg;images/test/case_001/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_005","images/test/case_003/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_004","images/test/case_004/img_1.jpg;images/test/case_004/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_007","images/test/case_005/img_1.jpg;images/test/case_005/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_008","images/test/case_006/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_003","images/test/case_007/img_1.jpg;images/test/case_007/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_011","images/test/case_008/img_1.jpg;images/test/case_008/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_004","images/test/case_010/img_1.jpg;images/test/case_010/img_2.jpg;images/test/case_010/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_018","images/test/case_011/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_014","images/test/case_014/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_017","images/test/case_017/img_1.jpg;images/test/case_017/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_018","images/test/case_018/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_019","images/test/case_019/img_1.jpg;images/test/case_019/img_2.jpg;images/test/case_019/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_020","images/test/case_020/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_025","images/test/case_025/img_1.jpg;images/test/case_025/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_026","images/test/case_026/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_027","images/test/case_027/img_1.jpg;images/test/case_027/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_028","images/test/case_028/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_029","images/test/case_029/img_1.jpg;images/test/case_029/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_030","images/test/case_030/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_031","images/test/case_031/img_1.jpg;images/test/case_031/img_2.jpg;images/test/case_031/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_032","images/test/case_032/img_1.jpg;images/test/case_032/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_034","images/test/case_034/img_1.jpg;images/test/case_034/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_036","images/test/case_036/img_1.jpg;images/test/case_036/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_037","images/test/case_037/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_038","images/test/case_038/img_1.jpg;images/test/case_038/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_039","images/test/case_039/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_040","images/test/case_040/img_1.jpg;images/test/case_040/img_2.jpg;images/test/case_040/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_041","images/test/case_041/img_1.jpg;images/test/case_041/img_2.jpg;images/test/case_041/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_042","images/test/case_042/img_1.jpg;images/test/case_042/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_043","images/test/case_043/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_044","images/test/case_044/img_1.jpg;images/test/case_044/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_045","images/test/case_045/img_1.jpg;images/test/case_045/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_047","images/test/case_047/img_1.jpg;images/test/case_047/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_046","images/test/case_046/img_1.jpg;images/test/case_046/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_034","images/test/case_048/img_1.jpg;images/test/case_048/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_042","images/test/case_049/img_1.jpg;images/test/case_049/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_022","images/test/case_050/img_1.jpg;images/test/case_050/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_016","images/test/case_051/img_1.jpg;images/test/case_051/img_2.jpg;images/test/case_051/img_3.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_033","images/test/case_052/img_1.jpg;images/test/case_052/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_045","images/test/case_053/img_1.jpg;images/test/case_053/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_041","images/test/case_054/img_1.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_040","images/test/case_055/img_1.jpg;images/test/case_055/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
"user_045","images/test/case_056/img_1.jpg;images/test/case_056/img_2.jpg","not_enough_information","unknown","unknown","false","unknown","manual_review_required","0.0","0.0","0.0","0.0","0.0","An error occurred during automated processing.","0","0"
